BBC News Business, bbc, http://www.bbc.com/news/business
Bloomberg, bloomberg, http://bloomberg.com
Fin 24, fin24, http://fin24.com
The Economist, economist, http://economist.com
Business Day, bdlive, http://bdlive.co.za
IOL Business, iolbusiness, http://iol.co.za/business
CNN Money, moneycnn, http://money.cnn.com/
Yahoo Finance, yahoofinance, http://finance.yahoo.com/news/
CNBC Finance, cnbcfinance, http://www.cnbc.com/finance/
Market Watch, marketwatch, http://www.marketwatch.com/
Coin Journal, coinjournal, http://coinjournal.net/
Crytpo News, cryptonews, http://coinjournal.net/
Coin Desk, coindesk, http://www.coindesk.com/
Coin Fox, coinfox, http://www.coinfox.info/
